method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,diverged,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Linear-SS,Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.7347140278166577,0.059651482000163014,nan,nan,nan,0.5604866880000827,0.6201381700002457,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,False,2.203431111085417,0.026493177938027915,0.1716114389652938,0.22978803834356287,nan,nan,nan,nan,nan,nan,u_cmd,direct
Nominal,"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,1.3701266927103006,0.0,nan,nan,nan,3.78332139500003,3.78332139500003,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,False,3.874226351505452,0.0912768775594226,0.2866696209475045,0.24625739322176976,nan,nan,nan,0.008280746466171893,0.0011337600734835957,0.006505374154207796,u_cmd,direct
Koopman-EDMD,Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,1.5561302540765305,0.05435652000005575,nan,nan,nan,2.7564610109998284,2.810817530999884,nan,120,64000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,False,4.805388025870042,0.0466454194326807,0.42721036751402913,0.44497578846608604,nan,nan,nan,nan,nan,nan,u_cmd,direct
Model-Stitching,Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,1.9581036166175272,0.11363674199992602,nan,nan,nan,2.928206745999887,3.041843487999813,2.3061896143738627e-05,211,256000,"Fits 6 local discrete deviation models from whole local-excitation trajectory groups; rollout blends local predictions with RBF weights in state-input space, length_scale=0.915. Validation uses only x0 and the supplied pilot-command history.",open_loop,False,9.24076982837288,0.03909053195758639,0.5396049847837152,0.37487845239384027,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Welch,Input-power-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,16722.152421780593,0.5423671569999442,nan,nan,nan,0.20110811099993953,0.7434752679998837,nan,28,10705,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and input-power-fraction threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,False,1545.515988051468,1418.871646504788,857.9007769785238,8994.861198106955,nan,nan,nan,nan,nan,nan,u_cmd,direct
Subspace-Hankel,Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,1.2246790495733664,3.725207341999976,nan,nan,nan,0.7131352010001137,4.43834254300009,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,False,4.420902465832015,0.03201901830462889,0.33414367114619437,0.3210495262619027,nan,nan,nan,nan,nan,nan,u_cmd,direct
EquationError-LS,"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,2.7640458929718803,0.011060645999805274,nan,nan,nan,3.8104473099999723,3.8215079559997776,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,False,4.7078247159121895,0.0954624567025619,1.1557873039173128,0.544129152151322,nan,nan,nan,nan,nan,nan,u_cmd,direct
EKF-ParamID,Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,1.2377764826733253,0.18230061899998873,nan,nan,nan,3.7523022980001315,3.93460291700012,0.011212346862970428,156,800,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,False,3.4637925012699817,0.05357093212052597,0.3196377120015743,0.3165594478744365,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Stitching,Trim-grid collection of local Welch continuous-time linear models blended by scheduling weights.,implemented,NumPy local Welch/CSD,3.8710226144923743,1.2180291879999459,nan,nan,nan,7.686820215999887,8.904849403999833,2.313294683846185,211,10705,"Fits 6 local Welch/ETFE-inspired continuous-time models on trim-grid groups; rollout blends local derivatives with RBF weights in state-input space, length_scale=0.915. This tests local frequency-domain stitching, not CIFER.",open_loop,False,9.46140035424269,0.34576482647129736,0.42364139117566246,0.827749517824822,nan,nan,nan,nan,nan,nan,u_cmd,direct
Variational-Mocap,"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,9.378023800275606,0.9726201240002865,nan,nan,nan,4.096345616000235,5.068965740000522,nan,320,52,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,False,9.133110448201542,0.17415520873334353,5.957816393714914,0.659670870509384,92.92676362776895,21.22700432854479,5.950984694831603,nan,nan,nan,u_cmd,direct
