method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,diverged,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Linear-SS,Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.20753377328337097,0.0580311520000123,nan,nan,nan,0.14235670800007938,0.20038786000009168,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,False,4.678437441858601,0.05267679896935435,0.445142465965527,0.6368580102910724,nan,nan,nan,nan,nan,nan,u_cmd,direct
Nominal,"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.23556706934776722,0.0,nan,nan,nan,1.1817328579998048,1.1817328579998048,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,False,2.4894322386667675,0.24068250493171045,0.2194504211100638,0.37683910194377795,nan,nan,nan,0.08351367508487625,0.03342052577113016,0.12579966244579502,u_cmd,direct
Model-Stitching,Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.16484205071047353,0.15474081499996828,nan,nan,nan,1.3950932749999083,1.5498340899998766,2.3061896143738627e-05,211,256000,"Fits 6 local discrete deviation models from whole local-excitation trajectory groups; rollout blends local predictions with RBF weights in state-input space, length_scale=0.915. Validation uses only x0 and the supplied pilot-command history.",open_loop,False,3.3819754854505413,0.049277555016537716,0.3694358119212682,0.499708497737504,nan,nan,nan,nan,nan,nan,u_cmd,direct
Koopman-EDMD,Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.040261167910612725,0.06988736800008155,nan,nan,nan,1.3042321850000462,1.3741195530001278,nan,120,64000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,False,0.6872514801945874,0.013768051368940647,0.0889455077944079,0.14484271793553716,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Welch,Input-power-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,1295.1576208437903,1.082631112999934,nan,nan,nan,0.31510952300004647,1.3977406359999804,nan,28,10705,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and input-power-fraction threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,False,2165.951437087859,1164.1223190848716,679.5852793254725,7309.082842250266,nan,nan,nan,nan,nan,nan,u_cmd,direct
EquationError-LS,"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,0.10257001031468219,0.01305006699999467,nan,nan,nan,1.6390508990000399,1.6521009660000345,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,False,1.8342129617710228,0.03544464192875807,0.22790298175150067,0.34221214799003113,nan,nan,nan,nan,nan,nan,u_cmd,direct
Subspace-Hankel,Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,0.23496372615985264,7.229723825000065,nan,nan,nan,0.3655722199998763,7.595296044999941,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,False,5.280373907665957,0.05474014326232232,0.527703264422816,0.7265241474843118,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Stitching,Trim-grid collection of local Welch continuous-time linear models blended by scheduling weights.,implemented,NumPy local Welch/CSD,10.036730343538613,1.8568843279999783,nan,nan,nan,3.4225385869999627,5.279422914999941,2.313294683846185,211,10705,"Fits 6 local Welch/ETFE-inspired continuous-time models on trim-grid groups; rollout blends local derivatives with RBF weights in state-input space, length_scale=0.915. This tests local frequency-domain stitching, not CIFER.",open_loop,False,80.97268162947324,10.068998747503127,9.948500048911365,23.051513673101812,nan,nan,nan,nan,nan,nan,u_cmd,direct
EKF-ParamID,Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.0601944552703686,0.33184405199995126,nan,nan,nan,1.855376318000026,2.1872203699999773,0.011212346862970428,156,800,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,False,0.8853791235624854,0.029930966998475545,0.10999273596104626,0.2119677281038597,nan,nan,nan,nan,nan,nan,u_cmd,direct
Symbolic-Stepwise,Forward stepwise symbolic regression over the shared nonlinear candidate library.,implemented,NumPy stepwise,0.05787139166117805,0.8797242420000657,nan,nan,nan,3.081760499999973,3.9614847420000388,nan,24,50000,Selects at most 5 nonconstant terms per state with a BIC-style complexity penalty.,open_loop,False,0.9932179900777997,0.022401715803631827,0.12008227658876068,0.19769656436563648,nan,nan,nan,nan,nan,nan,u_cmd,direct
