method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,diverged,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Nominal,"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,3.461016185994523,0.0,nan,nan,nan,3.708779904000039,3.708779904000039,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,False,6.939775435170681,0.3097060411870859,7.261089536145718,0.717399505349426,nan,nan,nan,0.014123975051369872,0.002784307992157654,0.013003746149509113,u_cmd,direct
Linear-SS,Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.4093664848561824,0.07208304000005228,nan,nan,nan,0.5641890390002118,0.6362720790002641,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,False,4.958000638414613,0.07100001083397936,0.4395995113744703,0.6854338464875169,nan,nan,nan,nan,nan,nan,u_cmd,direct
Model-Stitching,Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.5060341103330457,0.10151714600033301,nan,nan,nan,3.0165639040001224,3.1180810500004554,2.3061896143738627e-05,211,256000,"Fits 6 local discrete deviation models from whole local-excitation trajectory groups; rollout blends local predictions with RBF weights in state-input space, length_scale=0.915. Validation uses only x0 and the supplied pilot-command history.",open_loop,False,8.337708996439604,0.05971129502082857,0.6023700533013624,0.631783334121851,nan,nan,nan,nan,nan,nan,u_cmd,direct
Koopman-EDMD,Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.3957169299698664,0.04934078800033603,nan,nan,nan,2.7406101320002563,2.7899509200005923,nan,120,64000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,False,4.841246605842759,0.06292078156220668,0.45647343547567665,0.6013856906684543,nan,nan,nan,nan,nan,nan,u_cmd,direct
Subspace-Hankel,Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,0.6640205123090998,4.135903358000178,nan,nan,nan,0.7196128239997961,4.855516181999974,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,False,9.07328891996368,0.08140118327078079,0.8190435893941334,0.9129973420840687,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Welch,Input-power-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,2904.275002397085,0.5408552359999703,nan,nan,nan,0.1700996539998414,0.7109548899998117,nan,28,10705,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and input-power-fraction threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,False,2088.3960034114148,1421.6481058101724,846.9034248990531,8974.810164006609,nan,nan,nan,nan,nan,nan,u_cmd,direct
EquationError-LS,"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,3.4192024696050227,0.008840795000196522,nan,nan,nan,3.725782842999706,3.7346236379999027,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,False,5.561914431182406,0.16350692202690267,7.478125921171181,0.8606120535825357,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Stitching,Trim-grid collection of local Welch continuous-time linear models blended by scheduling weights.,implemented,NumPy local Welch/CSD,651.3089020033466,1.127707608000037,nan,nan,nan,6.67782470200018,7.805532310000217,2.313294683846185,211,10705,"Fits 6 local Welch/ETFE-inspired continuous-time models on trim-grid groups; rollout blends local derivatives with RBF weights in state-input space, length_scale=0.915. This tests local frequency-domain stitching, not CIFER.",open_loop,False,3739.2881288228095,446.97451304984105,229.62723794708424,734.6736171966497,nan,nan,nan,nan,nan,nan,u_cmd,direct
EKF-ParamID,Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,2.4496212577271423,0.17900239800019335,nan,nan,nan,3.6911227440000403,3.8701251420002336,0.011212346862970428,156,800,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,False,5.869142718326266,0.17311340254850657,5.12509119701555,0.7516800578827779,nan,nan,nan,nan,nan,nan,u_cmd,direct
Variational-Mocap,"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,5.678871778087171,0.9428366170000118,nan,nan,nan,3.805632527000398,4.74846914400041,nan,320,52,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,False,9.966063599921643,0.15428018036430158,12.84175370482165,0.8685860110929806,149.6978692959183,47.97103088296985,12.844282662673878,nan,nan,nan,u_cmd,direct
