method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,diverged,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Linear-SS,Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.09263902251714169,0.10378341699993143,nan,nan,nan,0.9158491519999643,1.0196325689998957,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,False,2.562990661416706,0.013191188930673952,0.15834803870120753,0.15532570894963213,nan,nan,nan,nan,nan,nan,u_cmd,direct
Nominal,"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,0.10088145498885286,0.0,nan,nan,nan,4.307537502000059,4.307537502000059,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,False,2.1236691958745486,0.03288201612215483,0.134375448843709,0.12980540650872588,nan,nan,nan,0.02817625299619063,0.0055160463621289815,0.02515540493892661,u_cmd,direct
Koopman-EDMD,Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.18269480120728582,0.046988245999955325,nan,nan,nan,2.681682369999862,2.7286706159998175,nan,120,64000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,False,5.40396049427147,0.02987515724246286,0.3161633401895835,0.253267045593019,nan,nan,nan,nan,nan,nan,u_cmd,direct
Model-Stitching,Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.10444233289797157,0.10149880599988137,nan,nan,nan,2.8121716220000508,2.913670427999932,2.3061896143738627e-05,211,256000,"Fits 6 local discrete deviation models from whole local-excitation trajectory groups; rollout blends local predictions with RBF weights in state-input space, length_scale=0.915. Validation uses only x0 and the supplied pilot-command history.",open_loop,False,2.9727293750543167,0.013784756915032137,0.18897865162869928,0.16418613444835733,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Welch,Input-power-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,3018.0141291109167,0.5659641209999791,nan,nan,nan,0.2062225029999354,0.7721866239999144,nan,28,10705,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and input-power-fraction threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,False,2287.4503623855994,1399.569992099875,826.7297003437061,8814.146541457387,nan,nan,nan,nan,nan,nan,u_cmd,direct
Subspace-Hankel,Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,0.10137179041296618,3.8568015850000847,nan,nan,nan,0.732892720999871,4.589694305999956,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,False,2.7109951154289558,0.014366438789072653,0.17996146276961125,0.16752758009971397,nan,nan,nan,nan,nan,nan,u_cmd,direct
EquationError-LS,"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,2.348026833709932,0.008893734000139375,nan,nan,nan,3.669264763000001,3.6781584970001404,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,False,7.358744941578968,0.1038516515592671,10.50637544726435,0.688993969946035,nan,nan,nan,nan,nan,nan,u_cmd,direct
EKF-ParamID,Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,0.1530612144639512,0.18635812299999088,nan,nan,nan,3.7864821660000416,3.9728402890000325,0.011212346862970428,156,800,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,False,4.984356335839119,0.033996464994296,0.2147939454952363,0.18647918499593957,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Stitching,Trim-grid collection of local Welch continuous-time linear models blended by scheduling weights.,implemented,NumPy local Welch/CSD,540.5708677956288,1.1630540470000597,nan,nan,nan,6.512995071999967,7.676049119000027,2.313294683846185,211,10705,"Fits 6 local Welch/ETFE-inspired continuous-time models on trim-grid groups; rollout blends local derivatives with RBF weights in state-input space, length_scale=0.915. This tests local frequency-domain stitching, not CIFER.",open_loop,False,3013.3733213656155,360.8953416441394,176.63167812063548,617.4994086716152,nan,nan,nan,nan,nan,nan,u_cmd,direct
Variational-Mocap,"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,1.5172779950503608,0.8563632689999849,nan,nan,nan,3.7562423399999716,4.6126056089999565,nan,320,52,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,False,9.372385471752548,0.19044309370368429,5.7304349934175685,0.668295807983934,138.99076041078698,45.56811615671307,5.692657362415278,nan,nan,nan,u_cmd,direct
