method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,diverged,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Nominal,"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,5.345389475460497,0.0,nan,nan,nan,4.004684716000156,4.004684716000156,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,False,7.131221149934535,0.3102857125386382,11.776830940980686,0.8945644299971707,nan,nan,nan,0.01612451932886906,0.002951166718019194,0.013874122406396721,u_cmd,direct
Linear-SS,Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.5174153571436743,0.07003326799986098,nan,nan,nan,0.5823906300001909,0.6524238980000518,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,False,6.219624039828133,0.09360427472900246,0.571921602015062,0.7978279412083179,nan,nan,nan,nan,nan,nan,u_cmd,direct
Model-Stitching,Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.6003543197306452,0.10777425900005255,nan,nan,nan,3.039329625999926,3.1471038849999786,2.3061896143738627e-05,211,256000,"Fits 6 local discrete deviation models from whole local-excitation trajectory groups; rollout blends local predictions with RBF weights in state-input space, length_scale=0.915. Validation uses only x0 and the supplied pilot-command history.",open_loop,False,8.689028814911595,0.08040128282897822,0.7103798875864438,0.8215405318044599,nan,nan,nan,nan,nan,nan,u_cmd,direct
Koopman-EDMD,Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.44965707409186684,0.0445658540002114,nan,nan,nan,2.80639421900014,2.8509600730003513,nan,120,64000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,False,4.956937385784828,0.08831527960254633,0.4814595889457545,0.7394609760615302,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Welch,Input-power-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,2892.7523284050126,0.5830128200000217,nan,nan,nan,0.17406532499990135,0.7570781449999231,nan,28,10705,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and input-power-fraction threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,False,2197.489628990351,1416.493224242729,840.610276352808,8932.89542487812,nan,nan,nan,nan,nan,nan,u_cmd,direct
Subspace-Hankel,Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,0.8313934509442187,4.482870227999683,nan,nan,nan,0.7117586409999603,5.194628868999644,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,False,10.51505784517869,0.10300351208326924,1.0622570676996705,1.1125648838273579,nan,nan,nan,nan,nan,nan,u_cmd,direct
EquationError-LS,"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,4.497018990394596,0.009400415000072826,nan,nan,nan,3.743074782000349,3.7524751970004218,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,False,5.712977496123626,0.1883393650733645,9.995081798615242,0.9941091306936334,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Stitching,Trim-grid collection of local Welch continuous-time linear models blended by scheduling weights.,implemented,NumPy local Welch/CSD,1014.028434394948,1.1083315979999497,nan,nan,nan,7.1354399920001015,8.243771590000051,2.313294683846185,211,10705,"Fits 6 local Welch/ETFE-inspired continuous-time models on trim-grid groups; rollout blends local derivatives with RBF weights in state-input space, length_scale=0.915. This tests local frequency-domain stitching, not CIFER.",open_loop,False,4795.99429083565,577.8695005728944,471.7278586312413,1674.1930031232587,nan,nan,nan,nan,nan,nan,u_cmd,direct
EKF-ParamID,Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,4.157606645800027,0.18553805200008355,nan,nan,nan,3.757842771000014,3.9433808230000977,0.011212346862970428,156,800,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,False,6.146239982553156,0.19991510868721665,9.1652769253008,0.8879449551911263,nan,nan,nan,nan,nan,nan,u_cmd,direct
OEM-SS,Multiple-shooting output-error fit of the nominal aerodynamic parameter vector.,implemented,CasADi/IPOPT,3.525034571956741,2.8670517619998463,nan,nan,nan,3.707526873000006,6.5745786349998525,11264.128869452059,56,202,CasADi/IPOPT multiple shooting (6 segments) on 2 trials with stride 10; nonlinear residuals are unmodeled. Solver status: Solve_Succeeded.,open_loop,False,5.99597011950353,0.1860761546674088,7.672972095628725,0.8557306314225681,nan,nan,nan,nan,nan,nan,u_cmd,direct
