method,description,implementation_status,backend,validation_score,train_elapsed_s,train_cpu_s,train_gpu_s,gpu_memory_mb,rollout_elapsed_s,total_elapsed_s,train_loss_final,decision_variables,train_samples,notes,evaluation_mode,diverged,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,mocap_rmse_x_pos,mocap_rmse_z_pos,mocap_rmse_theta,coeff_residual_rmse_C_L,coeff_residual_rmse_C_D,coeff_residual_rmse_C_M,input_channel,state_source
Linear-SS,Discrete local linear state-space baseline fitted by one-step least squares.,implemented,numpy,0.39467008379722,0.05947197200021037,nan,nan,nan,0.5745000659999278,0.6339720380001381,nan,28,256000,"Validation is an open-loop rollout from x0 using the supplied pilot-command history only; good scores indicate in-distribution discrete prediction, not aerodynamic interpretability.",open_loop,False,5.10362163673911,0.06993838191533758,0.44533556402709945,0.6546626739510156,nan,nan,nan,nan,nan,nan,u_cmd,direct
Nominal,"Known nominal rigid-body and aerodynamic model, no fitted correction.",implemented,numpy,3.634739242688408,0.0,nan,nan,nan,3.6937917760001255,3.6937917760001255,nan,8,0,Baseline; expected to miss hidden nonlinear aerodynamic terms.,open_loop,False,7.117859055420721,0.2922889410324095,8.316386253488133,0.7819746335000182,nan,nan,nan,0.013853968916065608,0.002771727201868891,0.01298841914323894,u_cmd,direct
Model-Stitching,Initial-condition clustered local linear state-space models blended by scheduling weights.,implemented,NumPy local models,0.5062279982071721,0.11094554100009191,nan,nan,nan,3.0805895090002196,3.1915350500003115,2.3061896143738627e-05,211,256000,"Fits 6 local discrete deviation models from whole local-excitation trajectory groups; rollout blends local predictions with RBF weights in state-input space, length_scale=0.915. Validation uses only x0 and the supplied pilot-command history.",open_loop,False,8.884903607480975,0.05644814792020387,0.631556002846148,0.6539297604839603,nan,nan,nan,nan,nan,nan,u_cmd,direct
Koopman-EDMD,Lifted linear discrete-time predictor fitted by extended dynamic mode decomposition.,implemented,NumPy EDMD,0.42095050693788305,0.04434155399985684,nan,nan,nan,2.7840221169999495,2.8283636709998063,nan,120,64000,"Uses the same polynomial/trigonometric library as SINDy, but fits a one-step lifted map rather than sparse continuous-time derivatives; validation is open-loop from x0 and the supplied pilot-command history.",open_loop,False,5.314631498474889,0.06583592541379547,0.502810446700052,0.6917936705723514,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Welch,Input-power-weighted continuous-time linear model fitted from averaged Welch state/input spectra.,implemented,NumPy Welch/CSD,2878.7857577896593,0.5734309539998321,nan,nan,nan,0.17251502499993876,0.7459459789997709,nan,28,10705,Welch/ETFE-inspired spectral fit using bins up to 12 Hz and input-power-fraction threshold 0.08; this is not CIFER and should be interpreted only as a compact local linear frequency-domain baseline.,open_loop,False,2086.2310011817353,1422.9375711530124,847.7967676137253,8983.348662218894,nan,nan,nan,nan,nan,nan,u_cmd,direct
Subspace-Hankel,Hankel/SVD latent linear state-space baseline in the spirit of N4SID/MOESP.,implemented,NumPy SVD,0.6579041241940854,3.87200186400014,nan,nan,nan,0.7565089849999822,4.628510849000122,nan,522,255296,"Past window=12, latent order=6; validation lag history is initialized from repeated x0 and pilot inputs, with no validation measurement feedback.",open_loop,False,9.305071085457847,0.08308068691026184,0.8571290134607379,0.9134768958175659,nan,nan,nan,nan,nan,nan,u_cmd,direct
EquationError-LS,"Derivative-based least squares on inferred lift, drag, and moment coefficients.",implemented,numpy,4.480937969174199,0.00931976499987286,nan,nan,nan,3.7682912569998734,3.7776110219997463,nan,8,50000,"Fast and interpretable, but differentiating noisy measurements biases the fit.",open_loop,False,6.25661508902436,0.20802014380269762,10.692022312474018,1.0010311396159888,nan,nan,nan,nan,nan,nan,u_cmd,direct
Frequency-Stitching,Trim-grid collection of local Welch continuous-time linear models blended by scheduling weights.,implemented,NumPy local Welch/CSD,688.7175945978639,1.1192414130000543,nan,nan,nan,6.847484535000149,7.966725948000203,2.313294683846185,211,10705,"Fits 6 local Welch/ETFE-inspired continuous-time models on trim-grid groups; rollout blends local derivatives with RBF weights in state-input space, length_scale=0.915. This tests local frequency-domain stitching, not CIFER.",open_loop,False,3702.6339799345265,451.25855648572696,260.1244558333747,950.2104486732225,nan,nan,nan,nan,nan,nan,u_cmd,direct
EKF-ParamID,Extended Kalman filter parameter-identification baseline; parameters are learned from training measurements then frozen for open-loop validation.,implemented,CasADi AD EKF,3.8101557214117703,0.18055615899993427,nan,nan,nan,3.731626175999736,3.9121823349996703,0.011212346862970428,156,800,Training-only augmented-state EKF estimates the aerodynamic parameter vector using 8 trials at stride 10; validation is a pilot-command-only open-loop rollout.,open_loop,False,6.280727902282871,0.1755490721728497,9.054554771014008,0.8640121820308776,nan,nan,nan,nan,nan,nan,u_cmd,direct
Variational-Mocap,"Sparse multiple-shooting MAP fit with latent states, mocap outputs, and process residuals.",implemented,CasADi/IPOPT,5.213697921054718,0.9138990410001497,nan,nan,nan,3.737348789999942,4.6512478310000915,nan,320,52,CasADi/IPOPT sparse latent-state estimator; approximates the variational/filter-error role without posterior covariance propagation.,open_loop,False,10.431051968011571,0.12847967821350706,12.693476287336685,0.8894615273336434,145.0957444054123,55.93911946746977,12.696835917017106,nan,nan,nan,u_cmd,direct
